Reg,Bidding History,Bidding Status
PE59 HXA,"['£325', '£300', '£275', '£250', '£225', '£200', '£175', '£150', '£125', '£100']",Reserve not met
PE59 HXA,"['£350', '£325', '£300', '£275', '£250', '£225', '£200', '£175', '£150', '£125', '£100']",On Sale
MD12 YNB,"['£400', '£300']",On Sale
MD12 YNB,"['£400', '£300']",On Sale
MD12 YNB,"['£450', '£425', '£400', '£300']",On Sale
MF63 OMP,['£600'],Reserve not met
MF63 OMP,"['£700', '£600']",Reserve not met
MF63 OMP,"['£700', '£600']",Reserve not met
MF63 OMP,"['£700', '£600']",Reserve not met
MF63 OMP,"['£700', '£600']",Reserve not met
MF63 OMP,"['£700', '£600']",Reserve not met
MF63 OMP,"['£725', '£700', '£600']",Provisional
MF63 OMP,"['£725', '£700', '£600']",Provisional
MF63 OMP,"['£725', '£700', '£600']",Provisional
MF63 OMP,"['£725', '£700', '£600']",On Sale
NG10 TZR,['£400'],Reserve not met
NG10 TZR,"['£525', '£500', '£475', '£450', '£425', '£400']",Reserve not met
NG10 TZR,"['£550', '£525', '£500', '£475', '£450', '£425', '£400']",On Sale
NG10 TZR,"['£575', '£550', '£525', '£500', '£475', '£450', '£425', '£400']",On Sale
CP10 FGJ,['£500'],Reserve not met
CP10 FGJ,"['£600', '£575', '£550', '£525', '£500']",Reserve not met
CP10 FGJ,"['£600', '£575', '£550', '£525', '£500']",Reserve not met
CP10 FGJ,"['£650', '£625', '£600', '£575', '£550', '£525', '£500']",Provisional
CP10 FGJ,"['£650', '£625', '£600', '£575', '£550', '£525', '£500']",Provisional
CP10 FGJ,"['£650', '£625', '£600', '£575', '£550', '£525', '£500']",Provisional
CP10 FGJ,"['£650', '£625', '£600', '£575', '£550', '£525', '£500']",On Sale
KP07 FRU,['£400'],Reserve not met
KP07 FRU,"['£550', '£500', '£400']",Reserve not met
KP07 FRU,"['£625', '£600', '£550', '£500', '£400']",Reserve not met
KP07 FRU,"['£625', '£600', '£550', '£500', '£400']",Reserve not met
FV59 NZT,"['£300', '£200']",Reserve not met
FV59 NZT,"['£400', '£375', '£350', '£325', '£300', '£200']",On Sale
FV59 NZT,"['£500', '£475', '£450', '£425', '£400', '£375', '£350', '£325', '£300', '£200']",On Sale
FV59 NZT,"['£550', '£525', '£500', '£475', '£450', '£425', '£400', '£375', '£350', '£325', '£300', '£200']",On Sale
FV59 NZT,"['£550', '£525', '£500', '£475', '£450', '£425', '£400', '£375', '£350', '£325', '£300', '£200']",On Sale
FE57 KKJ,['£500'],Reserve not met
FE57 KKJ,"['£625', '£600', '£575', '£550', '£525', '£500']",Reserve not met
FE57 KKJ,"['£625', '£600', '£575', '£550', '£525', '£500']",Reserve not met
FE57 KKJ,"['£625', '£600', '£575', '£550', '£525', '£500']",On Sale
FE57 KKJ,"['£625', '£600', '£575', '£550', '£525', '£500']",On Sale
WN12 YGE,['£200'],Reserve not met
WN12 YGE,"['£425', '£400', '£300', '£200']",Reserve not met
WN12 YGE,"['£450', '£425', '£400', '£300', '£200']",On Sale
WN12 YGE,"['£475', '£450', '£425', '£400', '£300', '£200']",On Sale
WN12 YGE,"['£500', '£475', '£450', '£425', '£400', '£300', '£200']",On Sale
WN12 YGE,"['£525', '£500', '£475', '£450', '£425', '£400', '£300', '£200']",On Sale
WN12 YGE,"['£525', '£500', '£475', '£450', '£425', '£400', '£300', '£200']",On Sale
EF08 JXX,"['£300', '£200']",On Sale
EF08 JXX,"['£450', '£425', '£400', '£375', '£350', '£325', '£300', '£200']",On Sale
EF08 JXX,"['£475', '£450', '£425', '£400', '£375', '£350', '£325', '£300', '£200']",On Sale
EF08 JXX,"['£575', '£550', '£525', '£500', '£475', '£450', '£425', '£400', '£375', '£350', '£325', '£300', '£200']",On Sale
EF08 JXX,"['£625', '£600', '£575', '£550', '£525', '£500', '£475', '£450', '£425', '£400', '£375', '£350', '£325', '£300', '£200']",On Sale
EF08 JXX,"['£650', '£625', '£600', '£575', '£550', '£525', '£500', '£475', '£450', '£425', '£400', '£375', '£350', '£325', '£300', '£200']",On Sale
EF08 JXX,"['£700', '£675', '£650', '£625', '£600', '£575', '£550', '£525', '£500', '£475', '£450', '£425', '£400', '£375', '£350', '£325', '£300', '£200']",On Sale
CV12 GVK,['£300'],Reserve not met
CV12 GVK,"['£450', '£425', '£400', '£300']",Reserve not met
CV12 GVK,"['£450', '£425', '£400', '£300']",On Sale
CV12 GVK,"['£450', '£425', '£400', '£300']",On Sale
CV12 GVK,"['£475', '£450', '£425', '£400', '£300']",On Sale
WU62 RZH,"['£200', '£100']",Reserve not met
WU62 RZH,"['£300', '£275', '£250', '£225', '£200', '£100']",On Sale
WU62 RZH,"['£375', '£350', '£325', '£300', '£275', '£250', '£225', '£200', '£100']",On Sale
WU62 RZH,"['£400', '£375', '£350', '£325', '£300', '£275', '£250', '£225', '£200', '£100']",On Sale
WU62 RZH,"['£425', '£400', '£375', '£350', '£325', '£300', '£275', '£250', '£225', '£200', '£100']",On Sale
WU62 RZH,"['£450', '£425', '£400', '£375', '£350', '£325', '£300', '£275', '£250', '£225', '£200', '£100']",On Sale
DK12 TYY,['£300'],Reserve not met
DK12 TYY,"['£500', '£475', '£450', '£425', '£400', '£300']",On Sale
DK12 TYY,"['£575', '£550', '£525', '£500', '£475', '£450', '£425', '£400', '£300']",On Sale
DK12 TYY,"['£600', '£575', '£550', '£525', '£500', '£475', '£450', '£425', '£400', '£300']",On Sale
DK12 TYY,"['£625', '£600', '£575', '£550', '£525', '£500', '£475', '£450', '£425', '£400', '£300']",On Sale
DK12 TYY,"['£650', '£625', '£600', '£575', '£550', '£525', '£500', '£475', '£450', '£425', '£400', '£300']",On Sale
AG04 XAV,['£400'],Reserve not met
AG04 XAV,"['£700', '£600', '£500', '£400']",On Sale
AG04 XAV,"['£700', '£600', '£500', '£400']",On Sale
CK60 NCO,['£100'],Reserve not met
CK60 NCO,['£100'],Reserve not met
CK60 NCO,"['£175', '£150', '£125', '£100']",Reserve not met
CK60 NCO,"['£200', '£175', '£150', '£125', '£100']",On Sale
CK60 NCO,"['£225', '£200', '£175', '£150', '£125', '£100']",On Sale
